phrase,audio,threshold,averaged_threshold,min_scores,filters,detected,hit_time_s,score,avg_score,run_ms
alexa,alexa,0.6,0.15,6,bandpass,false,,,,144
alexa,alexa,0.6,0.15,6,gain_bandpass,false,,,,142
alexa,alexa,0.6,0.15,10,none,true,2,0.6830521,0.3870153,65
alexa,alexa,0.6,0.15,10,gain,true,2,0.6830521,0.3870173,72
alexa,alexa,0.6,0.15,10,bandpass,false,,,,144
alexa,alexa,0.6,0.15,10,gain_bandpass,false,,,,147
alexa,alexa,0.6,0.2,4,none,true,2,0.6830521,0.3870153,72
alexa,alexa,0.6,0.2,4,gain,true,2,0.6830521,0.3870173,66
alexa,alexa,0.6,0.2,4,bandpass,false,,,,148
alexa,alexa,0.6,0.2,4,gain_bandpass,false,,,,146
alexa,alexa,0.6,0.2,6,none,true,2,0.6830521,0.3870153,66
alexa,alexa,0.6,0.2,6,gain,true,2,0.6830521,0.3870173,64
alexa,alexa,0.6,0.2,6,bandpass,false,,,,155
alexa,alexa,0.6,0.2,6,gain_bandpass,false,,,,146
alexa,alexa,0.6,0.2,10,none,true,2,0.6830521,0.3870153,65
alexa,alexa,0.6,0.2,10,gain,true,2,0.6830521,0.3870173,72
alexa,alexa,0.6,0.2,10,bandpass,false,,,,178
alexa,alexa,0.6,0.2,10,gain_bandpass,false,,,,144
alexa,computer,0.35,0.15,4,none,false,,,,132
alexa,computer,0.35,0.15,4,gain,false,,,,144
alexa,computer,0.35,0.15,4,bandpass,false,,,,135
alexa,computer,0.35,0.15,4,gain_bandpass,false,,,,116
alexa,computer,0.35,0.15,6,none,false,,,,144
alexa,computer,0.35,0.15,6,gain,false,,,,126
alexa,computer,0.35,0.15,6,bandpass,false,,,,127
alexa,computer,0.35,0.15,6,gain_bandpass,false,,,,123
alexa,computer,0.35,0.15,10,none,false,,,,136
alexa,computer,0.35,0.15,10,gain,false,,,,125
alexa,computer,0.35,0.15,10,bandpass,false,,,,139
alexa,computer,0.35,0.15,10,gain_bandpass,false,,,,114
alexa,computer,0.35,0.2,4,none,false,,,,141
alexa,computer,0.35,0.2,4,gain,false,,,,142
alexa,computer,0.35,0.2,4,bandpass,false,,,,129
alexa,computer,0.35,0.2,4,gain_bandpass,false,,,,146
alexa,computer,0.35,0.2,6,none,false,,,,134
alexa,computer,0.35,0.2,6,gain,false,,,,135
alexa,computer,0.35,0.2,6,bandpass,false,,,,128
alexa,computer,0.35,0.2,6,gain_bandpass,false,,,,127
alexa,computer,0.35,0.2,10,none,false,,,,134
alexa,computer,0.35,0.2,10,gain,false,,,,136
alexa,computer,0.35,0.2,10,bandpass,false,,,,137
alexa,computer,0.35,0.2,10,gain_bandpass,false,,,,115
alexa,computer,0.45,0.15,4,none,false,,,,145
alexa,computer,0.45,0.15,4,gain,false,,,,133
alexa,computer,0.45,0.15,4,bandpass,false,,,,145
alexa,computer,0.45,0.15,4,gain_bandpass,false,,,,129
alexa,computer,0.45,0.15,6,none,false,,,,124
alexa,computer,0.45,0.15,6,gain,false,,,,134
alexa,computer,0.45,0.15,6,bandpass,false,,,,135
alexa,computer,0.45,0.15,6,gain_bandpass,false,,,,122
alexa,computer,0.45,0.15,10,none,false,,,,135
alexa,computer,0.45,0.15,10,gain,false,,,,153
alexa,computer,0.45,0.15,10,bandpass,false,,,,125
alexa,computer,0.45,0.15,10,gain_bandpass,false,,,,167
alexa,computer,0.45,0.2,4,none,false,,,,163
alexa,computer,0.45,0.2,4,gain,false,,,,134
alexa,computer,0.45,0.2,4,bandpass,false,,,,144
alexa,computer,0.45,0.2,4,gain_bandpass,false,,,,130
alexa,computer,0.45,0.2,6,none,false,,,,128
alexa,computer,0.45,0.2,6,gain,false,,,,143
alexa,computer,0.45,0.2,6,bandpass,false,,,,174
alexa,computer,0.45,0.2,6,gain_bandpass,false,,,,137
alexa,computer,0.45,0.2,10,none,false,,,,126
alexa,computer,0.45,0.2,10,gain,false,,,,132
alexa,computer,0.45,0.2,10,bandpass,false,,,,130
alexa,computer,0.45,0.2,10,gain_bandpass,false,,,,127
alexa,computer,0.5,0.15,4,none,false,,,,124
alexa,computer,0.5,0.15,4,gain,false,,,,132
alexa,computer,0.5,0.15,4,bandpass,false,,,,126
alexa,computer,0.5,0.15,4,gain_bandpass,false,,,,121
alexa,computer,0.5,0.15,6,none,false,,,,128
alexa,computer,0.5,0.15,6,gain,false,,,,130
alexa,computer,0.5,0.15,6,bandpass,false,,,,130
alexa,computer,0.5,0.15,6,gain_bandpass,false,,,,122
alexa,computer,0.5,0.15,10,none,false,,,,130
alexa,computer,0.5,0.15,10,gain,false,,,,138
alexa,computer,0.5,0.15,10,bandpass,false,,,,134
alexa,computer,0.5,0.15,10,gain_bandpass,false,,,,128
alexa,computer,0.5,0.2,4,none,false,,,,127
alexa,computer,0.5,0.2,4,gain,false,,,,121
alexa,computer,0.5,0.2,4,bandpass,false,,,,137
alexa,computer,0.5,0.2,4,gain_bandpass,false,,,,118
alexa,computer,0.5,0.2,6,none,false,,,,129
alexa,computer,0.5,0.2,6,gain,false,,,,148
alexa,computer,0.5,0.2,6,bandpass,false,,,,139
alexa,computer,0.5,0.2,6,gain_bandpass,false,,,,122
alexa,computer,0.5,0.2,10,none,false,,,,119
alexa,computer,0.5,0.2,10,gain,false,,,,142
alexa,computer,0.5,0.2,10,bandpass,false,,,,132
alexa,computer,0.5,0.2,10,gain_bandpass,false,,,,134
alexa,computer,0.6,0.15,4,none,false,,,,157
alexa,computer,0.6,0.15,4,gain,false,,,,156
alexa,computer,0.6,0.15,4,bandpass,false,,,,152
alexa,computer,0.6,0.15,4,gain_bandpass,false,,,,126
alexa,computer,0.6,0.15,6,none,false,,,,183
alexa,computer,0.6,0.15,6,gain,false,,,,151
alexa,computer,0.6,0.15,6,bandpass,false,,,,131
alexa,computer,0.6,0.15,6,gain_bandpass,false,,,,114
alexa,computer,0.6,0.15,10,none,false,,,,124
alexa,computer,0.6,0.15,10,gain,false,,,,129
alexa,computer,0.6,0.15,10,bandpass,false,,,,138
alexa,computer,0.6,0.15,10,gain_bandpass,false,,,,131
alexa,computer,0.6,0.2,4,none,false,,,,139
alexa,computer,0.6,0.2,4,gain,false,,,,140
alexa,computer,0.6,0.2,4,bandpass,false,,,,180
alexa,computer,0.6,0.2,4,gain_bandpass,false,,,,125
alexa,computer,0.6,0.2,6,none,false,,,,130
alexa,computer,0.6,0.2,6,gain,false,,,,139
alexa,computer,0.6,0.2,6,bandpass,false,,,,128
alexa,computer,0.6,0.2,6,gain_bandpass,false,,,,123
alexa,computer,0.6,0.2,10,none,false,,,,153
alexa,computer,0.6,0.2,10,gain,false,,,,130
alexa,computer,0.6,0.2,10,bandpass,false,,,,136
alexa,computer,0.6,0.2,10,gain_bandpass,false,,,,121
alexa,hey_google,0.35,0.15,4,none,false,,,,126
alexa,hey_google,0.35,0.15,4,gain,false,,,,126
alexa,hey_google,0.35,0.15,4,bandpass,false,,,,143
alexa,hey_google,0.35,0.15,4,gain_bandpass,false,,,,131
alexa,hey_google,0.35,0.15,6,none,false,,,,126
alexa,hey_google,0.35,0.15,6,gain,false,,,,153
