audio,phrase,variant,threshold,boost,detected,hit_word,hit_time_s,build_ms,run_ms,rtf
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,lovely child,Int8,0.160,2.000,true,lovely child,6.570,1255,220,0.01242
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,lovely child,Int8,0.160,3.000,false,,,1252,1061,0.05993
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,lovely child,Int8,0.220,2.000,true,lovely child,6.570,3521,710,0.04011
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,lovely child,Int8,0.220,3.000,false,,,3980,1846,0.10422
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,lovely child,Int8,0.280,2.000,true,lovely child,6.570,4061,681,0.03845
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,lovely child,Int8,0.280,3.000,false,,,1969,597,0.03372
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,lovely child,Int8,0.340,2.000,true,lovely child,6.570,1057,200,0.01133
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,lovely child,Int8,0.340,3.000,false,,,1198,556,0.03139
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Fp32,0.160,2.000,true,for ever,11.670,500,184,0.01039
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Fp32,0.160,3.000,true,for ever,11.670,455,187,0.01057
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Fp32,0.220,2.000,true,for ever,11.670,475,174,0.00985
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Fp32,0.220,3.000,true,for ever,11.670,469,179,0.01012
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Fp32,0.280,2.000,true,for ever,11.670,590,443,0.02501
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Fp32,0.280,3.000,true,for ever,11.670,889,379,0.02140
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Fp32,0.340,2.000,true,for ever,11.670,841,387,0.02190
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Fp32,0.340,3.000,false,,,874,651,0.03679
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Int8,0.160,2.000,true,for ever,11.670,1272,402,0.02275
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Int8,0.160,3.000,true,for ever,11.670,1272,379,0.02143
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Int8,0.220,2.000,true,for ever,11.670,1091,362,0.02047
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Int8,0.220,3.000,true,for ever,11.670,1066,360,0.02032
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Int8,0.280,2.000,true,for ever,11.670,1063,361,0.02041
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Int8,0.280,3.000,true,for ever,11.670,1259,418,0.02364
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Int8,0.340,2.000,true,for ever,11.670,2215,1251,0.07067
C:\Users\MASTE\AppData\Roaming\com.winstt.winstt\wakeword\sherpa-onnx-kws-zipformer-gigaspeech-3.3M-2024-01-01\test_wavs\1.wav,for ever,Int8,0.340,3.000,false,,,4032,1997,0.11278
