phrase,audio,threshold,averaged_threshold,min_scores,filters,detected,hit_time_s,score,avg_score,run_ms
alexa,ok_google,0.6,0.2,10,gain,false,,,,133
computer,alexa,0.45,0.2,6,none,false,,,,160
computer,alexa,0.45,0.2,6,gain,false,,,,150
computer,alexa,0.45,0.2,10,none,false,,,,156
computer,alexa,0.45,0.2,10,gain,false,,,,139
computer,alexa,0.5,0.2,6,none,false,,,,156
computer,alexa,0.5,0.2,6,gain,false,,,,144
computer,alexa,0.5,0.2,10,none,false,,,,158
computer,alexa,0.5,0.2,10,gain,false,,,,155
computer,alexa,0.6,0.2,6,none,false,,,,160
computer,alexa,0.6,0.2,6,gain,false,,,,149
computer,alexa,0.6,0.2,10,none,false,,,,156
computer,alexa,0.6,0.2,10,gain,false,,,,150
computer,computer,0.45,0.2,6,none,true,2,0.6501188,0.40738085,85
computer,computer,0.45,0.2,6,gain,true,2,0.6501188,0.40738085,83
computer,computer,0.45,0.2,10,none,true,2,0.6501188,0.40738085,83
computer,computer,0.45,0.2,10,gain,true,2,0.6501188,0.40738085,81
computer,computer,0.5,0.2,6,none,true,2,0.6501188,0.40738085,90
computer,computer,0.5,0.2,6,gain,true,2,0.6501188,0.40738085,81
computer,computer,0.5,0.2,10,none,true,2,0.6501188,0.40738085,88
computer,computer,0.5,0.2,10,gain,true,2,0.6501188,0.40738085,130
computer,computer,0.6,0.2,6,none,true,2,0.6501188,0.40738085,81
computer,computer,0.6,0.2,6,gain,true,2,0.6501188,0.40738085,82
computer,computer,0.6,0.2,10,none,true,2,0.6501188,0.40738085,84
computer,computer,0.6,0.2,10,gain,true,2,0.6501188,0.40738085,91
computer,hey_google,0.45,0.2,6,none,false,,,,148
computer,hey_google,0.45,0.2,6,gain,false,,,,148
computer,hey_google,0.45,0.2,10,none,false,,,,140
computer,hey_google,0.45,0.2,10,gain,false,,,,140
computer,hey_google,0.5,0.2,6,none,false,,,,146
computer,hey_google,0.5,0.2,6,gain,false,,,,139
computer,hey_google,0.5,0.2,10,none,false,,,,148
computer,hey_google,0.5,0.2,10,gain,false,,,,137
computer,hey_google,0.6,0.2,6,none,false,,,,137
computer,hey_google,0.6,0.2,6,gain,false,,,,135
computer,hey_google,0.6,0.2,10,none,false,,,,143
computer,hey_google,0.6,0.2,10,gain,false,,,,147
computer,hey_siri,0.45,0.2,6,none,false,,,,153
computer,hey_siri,0.45,0.2,6,gain,false,,,,159
computer,hey_siri,0.45,0.2,10,none,false,,,,162
computer,hey_siri,0.45,0.2,10,gain,false,,,,159
computer,hey_siri,0.5,0.2,6,none,false,,,,160
computer,hey_siri,0.5,0.2,6,gain,false,,,,146
computer,hey_siri,0.5,0.2,10,none,false,,,,151
computer,hey_siri,0.5,0.2,10,gain,false,,,,156
computer,hey_siri,0.6,0.2,6,none,false,,,,153
computer,hey_siri,0.6,0.2,6,gain,false,,,,165
computer,hey_siri,0.6,0.2,10,none,false,,,,158
computer,hey_siri,0.6,0.2,10,gain,false,,,,155
computer,hey_winstt,0.45,0.2,6,none,false,,,,153
computer,hey_winstt,0.45,0.2,6,gain,false,,,,159
computer,hey_winstt,0.45,0.2,10,none,false,,,,162
computer,hey_winstt,0.45,0.2,10,gain,false,,,,161
computer,hey_winstt,0.5,0.2,6,none,false,,,,153
computer,hey_winstt,0.5,0.2,6,gain,false,,,,158
computer,hey_winstt,0.5,0.2,10,none,false,,,,154
computer,hey_winstt,0.5,0.2,10,gain,false,,,,149
computer,hey_winstt,0.6,0.2,6,none,false,,,,156
computer,hey_winstt,0.6,0.2,6,gain,false,,,,154
computer,hey_winstt,0.6,0.2,10,none,false,,,,196
computer,hey_winstt,0.6,0.2,10,gain,false,,,,154
computer,jarvis,0.45,0.2,6,none,false,,,,143
computer,jarvis,0.45,0.2,6,gain,false,,,,147
computer,jarvis,0.45,0.2,10,none,false,,,,143
computer,jarvis,0.45,0.2,10,gain,false,,,,149
computer,jarvis,0.5,0.2,6,none,false,,,,146
computer,jarvis,0.5,0.2,6,gain,false,,,,149
computer,jarvis,0.5,0.2,10,none,false,,,,142
computer,jarvis,0.5,0.2,10,gain,false,,,,169
computer,jarvis,0.6,0.2,6,none,false,,,,157
computer,jarvis,0.6,0.2,6,gain,false,,,,159
computer,jarvis,0.6,0.2,10,none,false,,,,156
computer,jarvis,0.6,0.2,10,gain,false,,,,161
computer,ok_google,0.45,0.2,6,none,false,,,,153
computer,ok_google,0.45,0.2,6,gain,false,,,,162
computer,ok_google,0.45,0.2,10,none,false,,,,147
computer,ok_google,0.45,0.2,10,gain,false,,,,161
computer,ok_google,0.5,0.2,6,none,false,,,,143
computer,ok_google,0.5,0.2,6,gain,false,,,,149
computer,ok_google,0.5,0.2,10,none,false,,,,149
computer,ok_google,0.5,0.2,10,gain,false,,,,155
computer,ok_google,0.6,0.2,6,none,false,,,,151
computer,ok_google,0.6,0.2,6,gain,false,,,,145
computer,ok_google,0.6,0.2,10,none,false,,,,149
computer,ok_google,0.6,0.2,10,gain,false,,,,160
hey_winstt,alexa,0.45,0.2,6,none,false,,,,158
hey_winstt,alexa,0.45,0.2,6,gain,false,,,,161
hey_winstt,alexa,0.45,0.2,10,none,false,,,,156
hey_winstt,alexa,0.45,0.2,10,gain,false,,,,158
hey_winstt,alexa,0.5,0.2,6,none,false,,,,154
hey_winstt,alexa,0.5,0.2,6,gain,false,,,,156
hey_winstt,alexa,0.5,0.2,10,none,false,,,,157
hey_winstt,alexa,0.5,0.2,10,gain,false,,,,170
hey_winstt,alexa,0.6,0.2,6,none,false,,,,146
hey_winstt,alexa,0.6,0.2,6,gain,false,,,,147
hey_winstt,alexa,0.6,0.2,10,none,false,,,,149
hey_winstt,alexa,0.6,0.2,10,gain,false,,,,154
hey_winstt,computer,0.45,0.2,6,none,false,,,,165
hey_winstt,computer,0.45,0.2,6,gain,false,,,,153
hey_winstt,computer,0.45,0.2,10,none,false,,,,158
hey_winstt,computer,0.45,0.2,10,gain,false,,,,154
hey_winstt,computer,0.5,0.2,6,none,false,,,,159
hey_winstt,computer,0.5,0.2,6,gain,false,,,,158
hey_winstt,computer,0.5,0.2,10,none,false,,,,156
hey_winstt,computer,0.5,0.2,10,gain,false,,,,152
hey_winstt,computer,0.6,0.2,6,none,false,,,,183
hey_winstt,computer,0.6,0.2,6,gain,false,,,,155
hey_winstt,computer,0.6,0.2,10,none,false,,,,144
hey_winstt,computer,0.6,0.2,10,gain,false,,,,146
hey_winstt,hey_google,0.45,0.2,6,none,false,,,,150
hey_winstt,hey_google,0.45,0.2,6,gain,false,,,,147
hey_winstt,hey_google,0.45,0.2,10,none,false,,,,154
hey_winstt,hey_google,0.45,0.2,10,gain,false,,,,154
hey_winstt,hey_google,0.5,0.2,6,none,false,,,,158
hey_winstt,hey_google,0.5,0.2,6,gain,false,,,,146
hey_winstt,hey_google,0.5,0.2,10,none,false,,,,154
hey_winstt,hey_google,0.5,0.2,10,gain,false,,,,158
hey_winstt,hey_google,0.6,0.2,6,none,false,,,,146
hey_winstt,hey_google,0.6,0.2,6,gain,false,,,,155
hey_winstt,hey_google,0.6,0.2,10,none,false,,,,143
hey_winstt,hey_google,0.6,0.2,10,gain,false,,,,152
hey_winstt,hey_siri,0.45,0.2,6,none,true,3,0.51968163,0.33532247,87
hey_winstt,hey_siri,0.45,0.2,6,gain,true,3,0.5196816,0.33532247,89
hey_winstt,hey_siri,0.45,0.2,10,none,false,,,,145
hey_winstt,hey_siri,0.45,0.2,10,gain,false,,,,148
hey_winstt,hey_siri,0.5,0.2,6,none,true,3,0.51968163,0.33532247,82
hey_winstt,hey_siri,0.5,0.2,6,gain,true,3,0.5196816,0.33532247,91
hey_winstt,hey_siri,0.5,0.2,10,none,false,,,,148
hey_winstt,hey_siri,0.5,0.2,10,gain,false,,,,149
hey_winstt,hey_siri,0.6,0.2,6,none,true,3,0.51968163,0.33532247,83
hey_winstt,hey_siri,0.6,0.2,6,gain,true,3,0.5196816,0.33532247,83
hey_winstt,hey_siri,0.6,0.2,10,none,false,,,,148
hey_winstt,hey_siri,0.6,0.2,10,gain,false,,,,150
hey_winstt,hey_winstt,0.45,0.2,6,none,true,3,0.6710108,0.38374433,90
hey_winstt,hey_winstt,0.45,0.2,6,gain,true,3,0.6700134,0.38301572,87
hey_winstt,hey_winstt,0.45,0.2,10,none,true,3,0.6710108,0.38374433,87
hey_winstt,hey_winstt,0.45,0.2,10,gain,true,3,0.6700134,0.38301572,86
hey_winstt,hey_winstt,0.5,0.2,6,none,true,3,0.6710108,0.38374433,83
hey_winstt,hey_winstt,0.5,0.2,6,gain,true,3,0.6700134,0.38301572,87
hey_winstt,hey_winstt,0.5,0.2,10,none,true,3,0.6710108,0.38374433,87
hey_winstt,hey_winstt,0.5,0.2,10,gain,true,3,0.6700134,0.38301572,90
hey_winstt,hey_winstt,0.6,0.2,6,none,true,3,0.6710108,0.38374433,94
hey_winstt,hey_winstt,0.6,0.2,6,gain,true,3,0.6700134,0.38301572,84
hey_winstt,hey_winstt,0.6,0.2,10,none,true,3,0.6710108,0.38374433,85
hey_winstt,hey_winstt,0.6,0.2,10,gain,true,3,0.6700134,0.38301572,87
hey_winstt,jarvis,0.45,0.2,6,none,true,2,0.63025135,0.35756156,87
hey_winstt,jarvis,0.45,0.2,6,gain,true,2,0.6304943,0.35793194,83
hey_winstt,jarvis,0.45,0.2,10,none,true,2,0.63025135,0.35756156,84
hey_winstt,jarvis,0.45,0.2,10,gain,true,2,0.6304943,0.35793194,88
hey_winstt,jarvis,0.5,0.2,6,none,true,2,0.63025135,0.35756156,83
hey_winstt,jarvis,0.5,0.2,6,gain,true,2,0.6304943,0.35793194,79
hey_winstt,jarvis,0.5,0.2,10,none,true,2,0.63025135,0.35756156,82
hey_winstt,jarvis,0.5,0.2,10,gain,true,2,0.6304943,0.35793194,80
hey_winstt,jarvis,0.6,0.2,6,none,true,2,0.63025135,0.35756156,77
hey_winstt,jarvis,0.6,0.2,6,gain,true,2,0.6304943,0.35793194,76
hey_winstt,jarvis,0.6,0.2,10,none,true,2,0.63025135,0.35756156,80
hey_winstt,jarvis,0.6,0.2,10,gain,true,2,0.6304943,0.35793194,87
hey_winstt,ok_google,0.45,0.2,6,none,false,,,,183
hey_winstt,ok_google,0.45,0.2,6,gain,false,,,,165
hey_winstt,ok_google,0.45,0.2,10,none,false,,,,151
hey_winstt,ok_google,0.45,0.2,10,gain,false,,,,150
hey_winstt,ok_google,0.5,0.2,6,none,false,,,,162
hey_winstt,ok_google,0.5,0.2,6,gain,false,,,,159
hey_winstt,ok_google,0.5,0.2,10,none,false,,,,154
hey_winstt,ok_google,0.5,0.2,10,gain,false,,,,153
hey_winstt,ok_google,0.6,0.2,6,none,false,,,,150
hey_winstt,ok_google,0.6,0.2,6,gain,false,,,,159
hey_winstt,ok_google,0.6,0.2,10,none,false,,,,169
hey_winstt,ok_google,0.6,0.2,10,gain,false,,,,162
